Age,Attrition,Travelling Frequency,Department,Education,EducationField,EmployeeCount,Employee Id,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Monthly Income,OverTime,PercentSalaryHike,PerformanceRating,Standard Working Hours,Total Experience,Total Trainings Last Year,WorkLifeBalance, Years In Current Company,YearsInCurrentRole,YearsSinceLastPromotion
35,No,Travel_Rarely,Research & Development,4,Medical,1,75,Female,30,1,Laboratory Technician,1,Married,16002,Yes,15,3,80,4,3,3,2,2,2
31,No,Travel_Rarely,Research & Development,4,Life Sciences,1,76,Male,48,2,Laboratory Technician,4,Divorced,9528,No,22,4,80,10,3,2,7,7,1
37,No,Travel_Rarely,Research & Development,4,Life Sciences,1,77,Male,51,2,Manufacturing Director,3,Divorced,2689,No,18,3,80,7,2,4,7,5,0
32,No,Travel_Rarely,Research & Development,3,Medical,1,78,Male,33,2,Manufacturing Director,4,Married,10877,Yes,22,4,80,9,3,3,9,8,7
38,No,Travel_Frequently,Research & Development,5,Life Sciences,1,79,Female,50,2,Laboratory Technician,4,Single,5456,No,11,3,80,10,2,3,10,3,9
50,No,Travel_Rarely,Research & Development,2,Medical,1,80,Female,43,5,Research Director,3,Divorced,16701,Yes,12,3,80,29,2,2,27,3,13
59,No,Travel_Rarely,Sales,3,Life Sciences,1,81,Female,99,3,Sales Executive,1,Single,2354,No,11,3,80,28,3,2,21,16,7
36,No,Travel_Rarely,Research & Development,3,Technical Degree,1,83,Female,59,3,Healthcare Representative,3,Divorced,8202,No,13,3,80,17,2,3,17,14,12
55,No,Travel_Rarely,Research & Development,3,Medical,1,84,Female,33,4,Manager,3,Divorced,19730,Yes,14,3,80,21,2,3,5,0,0
36,No,Travel_Frequently,Research & Development,3,Life Sciences,1,85,Male,95,2,Manufacturing Director,2,Single,22656,No,13,3,80,6,3,3,6,5,0
45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,86,Male,59,3,Research Scientist,1,Divorced,18787,No,17,3,80,25,2,3,1,0,0
35,No,Travel_Frequently,Research & Development,3,Medical,1,88,Male,79,1,Research Scientist,1,Married,5868,No,13,3,80,5,2,2,3,2,1
36,Yes,Travel_Rarely,Research & Development,3,Medical,1,90,Male,79,1,Research Scientist,3,Married,21777,Yes,17,3,80,2,0,2,1,0,0
59,No,Travel_Frequently,Sales,1,Life Sciences,1,91,Female,57,2,Sales Executive,3,Single,24668,No,11,3,80,20,2,2,4,3,1
29,No,Travel_Rarely,Research & Development,3,Life Sciences,1,94,Male,76,1,Research Scientist,2,Married,4956,No,23,4,80,6,3,3,5,4,0
31,No,Travel_Rarely,Research & Development,4,Medical,1,95,Male,87,1,Research Scientist,2,Single,18775,No,17,3,80,1,4,3,1,1,1
32,No,Travel_Rarely,Research & Development,3,Life Sciences,1,96,Male,66,2,Research Scientist,2,Married,7346,No,17,3,80,10,3,3,10,4,0
36,No,Travel_Rarely,Research & Development,3,Life Sciences,1,97,Female,55,1,Laboratory Technician,4,Married,22002,No,12,3,80,5,3,3,1,0,0
31,No,Travel_Rarely,Research & Development,4,Life Sciences,1,98,Female,61,2,Manufacturing Director,4,Single,20682,No,23,4,80,11,2,3,11,7,1
35,No,Travel_Rarely,Sales,4,Marketing,1,100,Male,32,2,Sales Executive,1,Single,23016,No,14,3,80,16,2,3,15,13,2
45,No,Travel_Rarely,Research & Development,4,Other,1,101,Male,52,3,Research Director,1,Married,15067,Yes,14,3,80,17,3,4,0,0,0
37,No,Travel_Rarely,Research & Development,4,Medical,1,102,Male,30,3,Research Director,3,Single,25258,No,13,3,80,16,3,4,5,2,0
46,No,Travel_Rarely,Human Resources,2,Medical,1,103,Male,80,2,Human Resources,2,Divorced,10425,Yes,22,4,80,16,2,3,4,2,0
30,No,Travel_Rarely,Research & Development,1,Life Sciences,1,104,Male,55,2,Laboratory Technician,4,Married,15998,Yes,12,3,80,10,1,2,10,8,3
35,No,Travel_Rarely,Research & Development,3,Medical,1,105,Male,30,1,Research Scientist,3,Single,26278,No,18,3,80,6,3,3,6,4,0
55,No,Travel_Rarely,Sales,2,Life Sciences,1,106,Male,70,3,Sales Executive,4,Married,18092,No,14,3,80,24,4,3,1,0,1
38,No,Non-Travel,Research & Development,3,Medical,1,107,Female,79,2,Research Scientist,4,Divorced,15717,Yes,12,3,80,17,3,3,13,11,1
34,No,Travel_Rarely,Research & Development,2,Medical,1,110,Male,94,2,Manufacturing Director,2,Married,17736,No,15,3,80,5,2,3,5,2,1
56,No,Travel_Rarely,Research & Development,3,Life Sciences,1,112,Male,49,3,Manufacturing Director,4,Single,21698,No,11,3,80,37,3,2,6,4,0
23,No,Travel_Rarely,Sales,1,Technical Degree,1,113,Male,62,1,Sales Representative,1,Divorced,9518,No,13,3,80,3,3,3,0,0,0
51,No,Travel_Rarely,Research & Development,4,Life Sciences,1,116,Male,96,1,Laboratory Technician,4,Married,18725,No,23,4,80,10,4,3,4,2,0
30,No,Travel_Rarely,Research & Development,3,Life Sciences,1,117,Male,99,2,Healthcare Representative,4,Married,15830,No,19,3,80,11,3,3,11,10,10
46,Yes,Travel_Rarely,Sales,2,Medical,1,118,Male,64,3,Sales Executive,4,Single,13596,No,16,3,80,9,3,3,9,8,4
40,No,Travel_Frequently,Research & Development,4,Life Sciences,1,119,Male,78,4,Healthcare Representative,2,Married,14115,No,22,4,80,22,3,2,22,3,11
51,No,Travel_Rarely,Sales,4,Marketing,1,120,Male,71,2,Sales Executive,4,Single,8423,Yes,22,4,80,11,2,1,10,7,1
30,No,Travel_Rarely,Sales,2,Medical,1,121,Female,63,2,Sales Executive,2,Divorced,19760,Yes,12,3,80,11,4,2,11,8,2
46,No,Travel_Frequently,Research & Development,3,Medical,1,124,Male,40,3,Healthcare Representative,1,Married,3142,Yes,13,3,80,21,5,2,10,9,9
32,No,Travel_Rarely,Sales,4,Medical,1,125,Male,87,2,Sales Executive,3,Single,24301,No,16,3,80,12,0,3,11,8,5
54,No,Travel_Rarely,Research & Development,4,Technical Degree,1,126,Female,60,3,Research Director,3,Married,24001,No,12,3,80,16,5,1,4,3,0
24,No,Travel_Rarely,Sales,2,Other,1,128,Female,33,2,Sales Executive,3,Married,17519,No,21,4,80,4,2,2,3,2,0
28,No,Non-Travel,Sales,3,Medical,1,129,Male,43,2,Sales Executive,3,Married,8863,No,15,3,80,5,3,4,5,4,0
58,No,Travel_Rarely,Sales,4,Medical,1,131,Male,37,4,Sales Executive,3,Single,24409,No,13,3,80,38,1,2,37,10,1
44,No,Non-Travel,Research & Development,3,Medical,1,132,Male,67,2,Laboratory Technician,2,Married,25043,No,12,3,80,17,3,4,3,2,1
37,Yes,Travel_Rarely,Human Resources,4,Human Resources,1,133,Male,63,1,Human Resources,1,Divorced,23648,Yes,22,4,80,7,3,3,3,2,0
32,No,Travel_Rarely,Research & Development,1,Life Sciences,1,134,Male,71,1,Research Scientist,1,Single,15178,No,13,3,80,1,2,3,1,0,0
20,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,137,Female,66,1,Laboratory Technician,4,Single,19783,Yes,18,3,80,1,5,3,1,0,1
34,No,Travel_Rarely,Research & Development,4,Other,1,138,Female,41,2,Research Scientist,3,Single,12482,No,14,3,80,16,3,3,16,13,2
37,No,Non-Travel,Research & Development,2,Life Sciences,1,139,Male,100,2,Healthcare Representative,4,Divorced,15850,No,14,3,80,17,2,4,1,0,0
59,No,Non-Travel,Human Resources,4,Human Resources,1,140,Female,32,5,Manager,4,Married,21922,No,21,4,80,30,3,3,3,2,2
50,No,Travel_Frequently,Research & Development,3,Life Sciences,1,141,Female,73,5,Research Director,2,Married,9755,Yes,19,3,80,28,1,2,8,3,0
25,Yes,Travel_Rarely,Sales,3,Marketing,1,142,Male,46,2,Sales Executive,3,Single,26959,Yes,11,3,80,6,1,3,6,4,0
25,No,Travel_Rarely,Research & Development,1,Medical,1,143,Male,64,1,Research Scientist,4,Married,26897,No,11,3,80,2,2,3,2,2,2
22,No,Travel_Rarely,Research & Development,3,Medical,1,144,Female,59,1,Laboratory Technician,4,Single,23785,No,15,3,80,1,5,3,0,0,0
51,No,Travel_Frequently,Research & Development,4,Medical,1,145,Female,30,3,Healthcare Representative,1,Single,25796,No,20,4,80,23,1,2,13,12,12
34,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,147,Male,66,2,Laboratory Technician,3,Single,22887,Yes,24,4,80,9,3,3,9,7,0
54,No,Non-Travel,Human Resources,3,Human Resources,1,148,Female,30,4,Manager,4,Single,13871,Yes,12,3,80,23,3,3,5,3,4
24,No,Travel_Rarely,Research & Development,1,Life Sciences,1,150,Male,52,1,Laboratory Technician,3,Married,13257,No,12,3,80,6,2,3,5,3,1
34,No,Travel_Rarely,Research & Development,4,Life Sciences,1,151,Female,45,2,Research Scientist,2,Divorced,15000,No,15,3,80,12,3,3,1,0,0
37,No,Travel_Rarely,Sales,3,Life Sciences,1,152,Male,87,3,Sales Executive,4,Single,14506,No,12,3,80,12,3,3,5,3,1
34,No,Travel_Rarely,Research & Development,3,Medical,1,153,Female,45,3,Manager,1,Single,5615,No,12,3,80,14,6,3,11,10,5
36,No,Travel_Frequently,Sales,2,Technical Degree,1,154,Female,92,3,Sales Executive,4,Married,22952,No,14,3,80,10,6,3,9,7,2
36,No,Travel_Rarely,Research & Development,2,Life Sciences,1,155,Female,39,1,Laboratory Technician,4,Divorced,2561,No,22,4,80,7,2,3,1,0,0
43,No,Travel_Frequently,Sales,2,Life Sciences,1,158,Male,92,4,Manager,4,Married,19494,Yes,12,3,80,25,3,4,25,12,4
30,No,Travel_Frequently,Research & Development,3,Life Sciences,1,159,Male,96,1,Research Scientist,3,Divorced,22310,No,25,4,80,10,2,2,10,7,0
33,No,Non-Travel,Sales,2,Marketing,1,160,Male,95,2,Sales Executive,2,Married,15480,No,13,3,80,8,2,4,7,7,0
56,Yes,Travel_Rarely,Research & Development,4,Life Sciences,1,161,Female,72,1,Research Scientist,2,Married,4510,Yes,18,3,80,7,2,3,5,4,4
51,No,Travel_Rarely,Research & Development,3,Life Sciences,1,162,Male,51,5,Research Director,3,Single,6462,No,13,3,80,23,5,3,20,18,15
31,Yes,Travel_Rarely,Sales,4,Life Sciences,1,163,Male,76,2,Sales Executive,3,Married,20739,Yes,18,3,80,12,3,2,7,7,7
26,No,Travel_Rarely,Research & Development,3,Other,1,164,Female,46,1,Research Scientist,2,Married,23300,No,19,3,80,5,3,2,5,4,4
58,Yes,Travel_Rarely,Research & Development,4,Medical,1,165,Female,94,3,Healthcare Representative,4,Married,3465,No,12,3,80,40,3,2,40,10,15
19,Yes,Travel_Rarely,Sales,1,Marketing,1,167,Male,50,1,Sales Representative,3,Single,26820,Yes,19,3,80,0,2,2,0,0,0
22,No,Travel_Rarely,Research & Development,1,Technical Degree,1,169,Male,100,1,Laboratory Technician,4,Married,19299,No,14,3,80,3,2,3,2,1,2
49,No,Travel_Rarely,Research & Development,4,Medical,1,170,Female,96,2,Manufacturing Director,1,Married,5549,No,14,3,80,16,2,2,15,11,5
43,No,Travel_Frequently,Research & Development,3,Medical,1,171,Female,72,1,Research Scientist,3,Single,16090,No,12,3,80,18,2,3,3,2,1
50,No,Travel_Frequently,Sales,3,Marketing,1,174,Female,77,3,Sales Executive,4,Single,6645,No,11,3,80,16,3,3,2,2,2
31,Yes,Travel_Rarely,Sales,3,Life Sciences,1,175,Female,71,2,Sales Executive,3,Married,24788,Yes,11,3,80,4,2,3,2,2,2
41,No,Travel_Rarely,Sales,1,Life Sciences,1,176,Male,96,3,Sales Executive,3,Divorced,21196,Yes,13,3,80,12,2,3,9,7,0
26,No,Travel_Rarely,Human Resources,1,Life Sciences,1,177,Female,61,1,Human Resources,3,Married,8916,No,23,4,80,8,3,3,8,7,5
36,No,Travel_Rarely,Research & Development,2,Medical,1,178,Male,84,2,Manufacturing Director,2,Divorced,2819,No,20,4,80,7,0,3,3,2,0
51,Yes,Travel_Frequently,Research & Development,4,Life Sciences,1,179,Male,53,3,Manufacturing Director,4,Single,25150,No,15,3,80,18,2,3,4,2,0
39,No,Travel_Rarely,Sales,4,Life Sciences,1,182,Female,47,2,Sales Executive,3,Married,14590,No,14,3,80,17,1,4,15,11,5
25,No,Travel_Rarely,Sales,3,Life Sciences,1,183,Male,41,2,Sales Executive,3,Married,24835,No,18,3,80,6,3,3,2,2,2
30,No,Travel_Rarely,Human Resources,3,Human Resources,1,184,Male,48,2,Human Resources,4,Married,13982,Yes,19,3,80,12,2,1,11,9,4
32,Yes,Travel_Rarely,Research & Development,3,Medical,1,190,Female,41,1,Laboratory Technician,1,Single,10224,No,22,4,80,10,2,4,5,4,0
45,No,Travel_Rarely,Research & Development,3,Medical,1,192,Male,83,1,Research Scientist,4,Single,9752,No,13,3,80,9,2,2,6,5,0
38,No,Travel_Rarely,Research & Development,5,Technical Degree,1,193,Female,32,2,Research Scientist,3,Single,2302,Yes,20,4,80,19,2,3,3,2,2
30,No,Travel_Rarely,Research & Development,3,Life Sciences,1,194,Female,75,1,Research Scientist,3,Single,23910,No,14,3,80,5,4,2,5,4,0
32,No,Travel_Frequently,Sales,2,Medical,1,195,Male,35,2,Sales Executive,4,Divorced,22812,No,17,3,80,9,2,4,8,7,0
30,No,Travel_Rarely,Research & Development,3,Technical Degree,1,197,Female,84,1,Research Scientist,1,Divorced,10415,No,14,3,80,8,3,3,3,2,2
30,No,Travel_Rarely,Research & Development,1,Medical,1,198,Male,35,1,Laboratory Technician,4,Single,11162,No,13,3,80,6,3,3,5,3,1
41,No,Travel_Frequently,Research & Development,3,Life Sciences,1,199,Male,91,4,Manager,1,Divorced,12888,No,13,3,80,21,2,2,7,6,7
41,No,Travel_Rarely,Research & Development,4,Life Sciences,1,200,Male,94,1,Laboratory Technician,1,Married,6961,No,21,4,80,7,2,3,5,0,1
19,No,Travel_Rarely,Research & Development,1,Medical,1,201,Female,79,1,Laboratory Technician,2,Single,16102,No,14,3,80,1,3,3,1,0,0
40,No,Travel_Frequently,Research & Development,3,Medical,1,202,Female,54,2,Research Scientist,2,Divorced,8504,No,11,3,80,20,2,3,20,7,2
35,No,Travel_Rarely,Sales,5,Marketing,1,204,Male,94,3,Sales Executive,2,Married,11439,No,13,3,80,10,3,3,10,8,0
53,No,Travel_Rarely,Sales,2,Marketing,1,205,Male,34,2,Sales Representative,3,Married,16047,Yes,20,4,80,13,3,1,7,7,4
45,No,Travel_Rarely,Research & Development,3,Life Sciences,1,206,Male,60,2,Laboratory Technician,2,Divorced,10901,No,18,3,80,20,2,1,17,9,0
32,No,Travel_Frequently,Sales,3,Marketing,1,207,Female,43,3,Sales Executive,4,Single,15589,No,14,3,80,9,2,3,9,8,3
29,No,Non-Travel,Research & Development,1,Technical Degree,1,208,Male,41,2,Manufacturing Director,3,Married,26283,No,13,3,80,10,1,3,10,7,0
51,No,Travel_Rarely,Research & Development,4,Medical,1,211,Male,34,2,Manufacturing Director,3,Married,13983,No,17,3,80,10,2,3,1,0,0
58,No,Travel_Rarely,Research & Development,3,Medical,1,214,Female,75,1,Research Scientist,2,Married,11873,Yes,20,4,80,9,3,2,1,0,0
40,No,Travel_Rarely,Sales,4,Marketing,1,215,Male,67,3,Sales Executive,4,Married,8552,No,11,3,80,15,2,2,12,11,2
34,No,Travel_Frequently,Sales,4,Marketing,1,216,Female,75,1,Sales Representative,3,Married,11314,No,18,3,80,6,3,3,4,3,1
22,No,Travel_Rarely,Research & Development,1,Medical,1,217,Male,80,1,Research Scientist,4,Married,11992,No,24,4,80,2,6,3,2,2,2
27,No,Non-Travel,Research & Development,3,Medical,1,218,Male,57,1,Research Scientist,2,Divorced,5970,No,18,3,80,6,1,1,2,2,2
28,No,Travel_Rarely,Research & Development,3,Medical,1,221,Male,42,1,Research Scientist,4,Married,6672,No,11,3,80,5,2,1,5,2,0
57,No,Travel_Rarely,Research & Development,2,Life Sciences,1,223,Male,83,3,Healthcare Representative,4,Divorced,23402,Yes,16,3,80,12,2,1,5,3,1
27,No,Non-Travel,Research & Development,3,Medical,1,224,Male,79,1,Research Scientist,3,Divorced,25326,Yes,15,3,80,1,2,2,1,1,0
50,No,Travel_Rarely,Research & Development,3,Life Sciences,1,226,Female,53,5,Manager,2,Single,17053,No,15,3,80,21,5,3,5,4,4
41,No,Travel_Rarely,Research & Development,3,Life Sciences,1,227,Male,56,1,Research Scientist,3,Divorced,4609,No,12,3,80,13,2,3,9,8,1
30,No,Travel_Rarely,Sales,3,Life Sciences,1,228,Female,41,3,Sales Executive,4,Married,8053,No,12,3,80,12,2,3,10,9,7
38,No,Travel_Rarely,Sales,4,Life Sciences,1,230,Female,59,2,Sales Executive,4,Single,12930,No,22,4,80,12,2,4,8,3,0
32,No,Travel_Rarely,Research & Development,5,Life Sciences,1,231,Male,43,1,Research Scientist,3,Single,12430,No,20,4,80,8,2,3,5,4,1
27,No,Travel_Rarely,Research & Development,3,Technical Degree,1,233,Male,51,1,Research Scientist,2,Married,13364,Yes,16,3,80,6,3,2,5,2,1
19,Yes,Travel_Frequently,Sales,1,Technical Degree,1,235,Female,100,1,Sales Representative,1,Single,20989,No,21,4,80,1,5,4,0,0,0
36,No,Travel_Frequently,Research & Development,2,Medical,1,238,Male,30,1,Laboratory Technician,2,Single,15062,No,12,3,80,13,3,2,8,7,7
30,No,Non-Travel,Research & Development,3,Medical,1,239,Male,66,2,Laboratory Technician,1,Divorced,11012,No,11,3,80,12,4,3,12,9,6
45,No,Travel_Rarely,Sales,2,Life Sciences,1,240,Female,30,2,Sales Executive,1,Divorced,6319,Yes,11,3,80,9,3,4,5,4,0
56,No,Travel_Rarely,Research & Development,3,Life Sciences,1,241,Female,67,1,Research Scientist,1,Divorced,13939,Yes,18,3,80,19,3,3,2,2,2
33,No,Travel_Rarely,Research & Development,3,Life Sciences,1,242,Male,90,1,Research Scientist,4,Single,10515,No,14,3,80,4,2,4,3,1,0
19,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,243,Male,47,1,Laboratory Technician,4,Single,9241,No,22,4,80,1,3,2,1,0,1
46,No,Travel_Rarely,Sales,2,Marketing,1,244,Female,92,3,Sales Executive,1,Divorced,2137,No,25,4,80,24,2,3,24,13,15
38,No,Travel_Rarely,Research & Development,2,Life Sciences,1,245,Female,75,1,Laboratory Technician,4,Single,6319,No,12,3,80,2,3,3,2,2,2
31,No,Travel_Rarely,Research & Development,1,Medical,1,246,Female,95,1,Research Scientist,4,Married,6984,Yes,23,4,80,7,0,3,4,2,0
34,No,Travel_Rarely,Research & Development,2,Medical,1,247,Female,95,1,Research Scientist,2,Single,5711,No,15,3,80,9,3,3,3,2,1
41,Yes,Travel_Rarely,Sales,2,Marketing,1,248,Female,70,1,Sales Representative,2,Single,21728,Yes,22,4,80,4,5,2,4,3,0
50,No,Travel_Rarely,Research & Development,3,Medical,1,249,Male,86,1,Laboratory Technician,3,Married,3425,No,15,3,80,5,2,2,3,2,0
53,No,Travel_Rarely,Research & Development,2,Medical,1,250,Female,57,2,Manufacturing Director,1,Divorced,26250,No,11,3,80,5,3,3,4,2,1
